epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,6714.82,1.60055,1.06296,0.00677,0.83895,0.53978,0.62897,0.40415,1.34492,0.98748,0.00725,4.40006e-05,4.40006e-05,4.40006e-05
58,6833.57,1.59379,1.04774,0.00659,0.83944,0.53594,0.62898,0.40393,1.33645,0.98745,0.00743,4.30006e-05,4.30006e-05,4.30006e-05
59,6953.08,1.59514,1.05206,0.00664,0.83827,0.53752,0.62978,0.40234,1.33841,0.97635,0.00728,4.20006e-05,4.20006e-05,4.20006e-05
60,7072.47,1.57714,1.03029,0.00654,0.82949,0.54082,0.63245,0.4061,1.32622,0.97815,0.00713,4.10006e-05,4.10006e-05,4.10006e-05
61,7191.95,1.58403,1.0346,0.00648,0.83648,0.54109,0.63354,0.40845,1.32555,0.96799,0.00719,4.00006e-05,4.00006e-05,4.00006e-05
62,7309.93,1.59133,1.04447,0.00653,0.83341,0.54451,0.63413,0.41128,1.32347,0.96433,0.00709,3.90006e-05,3.90006e-05,3.90006e-05
63,7426.53,1.57423,1.03772,0.00652,0.83626,0.54264,0.63688,0.41094,1.31764,0.96758,0.00705,3.80006e-05,3.80006e-05,3.80006e-05
64,7542.88,1.58047,1.03866,0.00649,0.83379,0.54165,0.63501,0.41166,1.31197,0.96112,0.00692,3.70006e-05,3.70006e-05,3.70006e-05
65,7660.67,1.56614,1.02379,0.00641,0.68239,0.6291,0.63663,0.41054,1.31897,0.96274,0.00711,3.60006e-05,3.60006e-05,3.60006e-05
66,7778.71,1.56598,1.01931,0.00632,0.83514,0.5437,0.63611,0.41066,1.31984,0.95761,0.00708,3.50007e-05,3.50007e-05,3.50007e-05
67,7897.49,1.56412,1.02125,0.00642,0.84306,0.5394,0.63852,0.41243,1.31515,0.95279,0.0071,3.40007e-05,3.40007e-05,3.40007e-05
68,8016.67,1.56634,1.01971,0.0064,0.84415,0.54069,0.63782,0.4121,1.30612,0.9552,0.00695,3.30007e-05,3.30007e-05,3.30007e-05
69,8135.63,1.56569,1.02412,0.00632,0.83928,0.54041,0.63958,0.41264,1.30579,0.95119,0.00697,3.20007e-05,3.20007e-05,3.20007e-05
70,8253.32,1.55331,1.00361,0.00636,0.84508,0.53607,0.63733,0.41142,1.3016,0.95297,0.00698,3.10007e-05,3.10007e-05,3.10007e-05
71,8370.08,1.56223,1.00818,0.00629,0.67724,0.63405,0.64182,0.41615,1.30043,0.94319,0.00688,3.00007e-05,3.00007e-05,3.00007e-05
72,8488.32,1.56913,1.00912,0.00619,0.68135,0.63251,0.642,0.4163,1.31119,0.94643,0.00703,2.90007e-05,2.90007e-05,2.90007e-05
73,8606.52,1.55258,1.00855,0.00626,0.68437,0.63239,0.63842,0.41464,1.30431,0.94673,0.0069,2.80007e-05,2.80007e-05,2.80007e-05
74,8723.99,1.56094,1.01429,0.00628,0.84279,0.54319,0.64051,0.4138,1.30654,0.94568,0.00703,2.70007e-05,2.70007e-05,2.70007e-05
75,8843.46,1.54807,1.00277,0.00625,0.84614,0.54372,0.6406,0.415,1.305,0.94801,0.00701,2.60007e-05,2.60007e-05,2.60007e-05
76,8961.57,1.55122,1.00733,0.00616,0.84113,0.54811,0.64142,0.41449,1.30285,0.93855,0.00685,2.50007e-05,2.50007e-05,2.50007e-05
77,9079,1.54831,1.00358,0.00614,0.83416,0.5515,0.64484,0.41563,1.3022,0.93941,0.00688,2.40008e-05,2.40008e-05,2.40008e-05
